com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:01.004,10,2024-07-18 21:06:04.455,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,4371bb5b-1f55-4b56-a6ac-df4650a7e7cc.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,4371bb5b-1f55-4b56-a6ac-df4650a7e7cc,2024-07-04 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:01.366,10,2024-07-18 21:06:05.094,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,d48df3fa-33ea-489e-a667-9348a1dacb92.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,d48df3fa-33ea-489e-a667-9348a1dacb92,2024-07-03 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:01.538,10,2024-07-18 21:06:05.538,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,82fd8da3-42f5-410f-8917-8aa5b8c7139d.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,82fd8da3-42f5-410f-8917-8aa5b8c7139d,2024-07-02 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:01.770,10,2024-07-18 21:06:05.741,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,3afe3185-8e03-472e-8bf7-4e9c0be8d7be.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,3afe3185-8e03-472e-8bf7-4e9c0be8d7be,2024-07-01 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:01.917,10,2024-07-18 21:06:05.859,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,dea5a820-12de-4d50-aa1b-2d2a5799681f.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,dea5a820-12de-4d50-aa1b-2d2a5799681f,2024-06-30 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:02.079,10,2024-07-18 21:06:05.988,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,67b6a844-fa89-4cec-8341-998f681b1e81.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,67b6a844-fa89-4cec-8341-998f681b1e81,2024-06-29 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:02.235,10,2024-07-18 21:06:06.168,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,d3c16c2d-86fd-4b34-b7f5-3235b9c6a957.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,d3c16c2d-86fd-4b34-b7f5-3235b9c6a957,2024-06-28 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:02.413,10,2024-07-18 21:06:06.328,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,c51eedd5-50f2-49de-97db-9668462f4552.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,c51eedd5-50f2-49de-97db-9668462f4552,2024-06-27 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:02.606,10,2024-07-18 21:06:06.747,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,c268b87e-614d-483c-bc68-28c21377b271.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,c268b87e-614d-483c-bc68-28c21377b271,2024-06-26 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:02.765,10,2024-07-18 21:06:06.946,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,82e9233b-b59c-4e9c-82cc-80cda0841581.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,82e9233b-b59c-4e9c-82cc-80cda0841581,2024-06-25 00:00:00.000,
