com.samsung.shealth.calories_burned.details,6305105,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,79428a6a-e05e-44b1-8789-1635c57a87a7.extra_data.json,,479.83997,62670070,0.0,8293880,1125.7078,62701610,2024-07-29 23:51:46.643,2024-07-18 21:06:00.830,503.7583,8pzzg0NREq,com.sec.android.app.shealth,79428a6a-e05e-44b1-8789-1635c57a87a7,1721347200000,
,,2973183f-8d35-4855-94be-8ac1c760b577.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.630,2024-07-18 21:06:01.466,0.0,8pzzg0NREq,com.sec.android.app.shealth,2973183f-8d35-4855-94be-8ac1c760b577,1721260800000,
,,7e74bfff-ab15-41b1-b9b5-91989fb72f8e.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.612,2024-07-18 21:06:01.661,0.0,8pzzg0NREq,com.sec.android.app.shealth,7e74bfff-ab15-41b1-b9b5-91989fb72f8e,1721174400000,
,,516a4ef4-59b5-4a34-bc81-95603590217d.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.597,2024-07-18 21:06:01.886,0.0,8pzzg0NREq,com.sec.android.app.shealth,516a4ef4-59b5-4a34-bc81-95603590217d,1721088000000,
,,cbba005e-66fa-4ec4-bc98-26e5821ca170.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.584,2024-07-18 21:06:02.003,0.0,8pzzg0NREq,com.sec.android.app.shealth,cbba005e-66fa-4ec4-bc98-26e5821ca170,1721001600000,
,,fc4ce9bd-bad8-46cd-89ac-36ba8e42dc90.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.570,2024-07-18 21:06:02.116,0.0,8pzzg0NREq,com.sec.android.app.shealth,fc4ce9bd-bad8-46cd-89ac-36ba8e42dc90,1720915200000,
,,7151bcf9-3144-407b-8e00-7212cf8b25e4.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.562,2024-07-18 21:06:02.287,0.0,8pzzg0NREq,com.sec.android.app.shealth,7151bcf9-3144-407b-8e00-7212cf8b25e4,1720828800000,
,,4112e3ac-39e7-4941-b40d-8db7d5d3f03f.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.555,2024-07-18 21:06:02.444,0.0,8pzzg0NREq,com.sec.android.app.shealth,4112e3ac-39e7-4941-b40d-8db7d5d3f03f,1720742400000,
,,d24550b3-4567-4690-879f-c2c5ccce1a47.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.540,2024-07-18 21:06:02.611,0.0,8pzzg0NREq,com.sec.android.app.shealth,d24550b3-4567-4690-879f-c2c5ccce1a47,1720656000000,
,,633b86bf-d144-40a2-8f73-77fdaa6f74e6.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.530,2024-07-18 21:06:02.839,0.0,8pzzg0NREq,com.sec.android.app.shealth,633b86bf-d144-40a2-8f73-77fdaa6f74e6,1720569600000,
,,8b7d15b5-c64b-4959-8c3e-a07513f7e895.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.519,2024-07-18 21:06:03.050,0.0,8pzzg0NREq,com.sec.android.app.shealth,8b7d15b5-c64b-4959-8c3e-a07513f7e895,1720483200000,
,,a86cf6bb-ba3f-4026-ac14-90553f767509.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.506,2024-07-18 21:06:03.295,0.0,8pzzg0NREq,com.sec.android.app.shealth,a86cf6bb-ba3f-4026-ac14-90553f767509,1720396800000,
,,9ebdd02d-e308-4b07-95e9-b9cbd384e272.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.494,2024-07-18 21:06:03.456,0.0,8pzzg0NREq,com.sec.android.app.shealth,9ebdd02d-e308-4b07-95e9-b9cbd384e272,1720310400000,
,,4e70268d-a7d0-4011-b256-ca055787b683.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.479,2024-07-18 21:06:03.835,0.0,8pzzg0NREq,com.sec.android.app.shealth,4e70268d-a7d0-4011-b256-ca055787b683,1720224000000,
,,8bd34e7e-79ed-4620-9009-a192e74c48b9.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.462,2024-07-18 21:06:04.079,0.0,8pzzg0NREq,com.sec.android.app.shealth,8bd34e7e-79ed-4620-9009-a192e74c48b9,1720137600000,
,,103e553a-cb5b-4157-9193-b7997f4d567d.extra_data.json,,0.0,62670070,0.0,0,1245.2437,62701610,2024-07-29 23:51:46.446,2024-07-18 21:06:04.630,0.0,8pzzg0NREq,com.sec.android.app.shealth,103e553a-cb5b-4157-9193-b7997f4d567d,1720051200000,
